,abv,ibu,id,beer_name,style,brewery_id,brewery_name,city,state
277,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,Black Market Brewing Company,Temecula, CA
278,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,Black Market Brewing Company,Temecula, CA
279,0.058,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,Black Market Brewing Company,Temecula, CA
280,0.071,83.0,1850,American India Red Ale,American Strong Ale,294,Black Shirt Brewing Company,Denver, CO
281,0.071,45.0,1849,American Red Porter,American Porter,294,Black Shirt Brewing Company,Denver, CO
282,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,Black Shirt Brewing Company,Denver, CO
283,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,Black Shirt Brewing Company,Denver, CO
284,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,Black Tooth Brewing Company,Sheridan, WY
285,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,Black Tooth Brewing Company,Sheridan, WY
286,0.073,,2449,Flying Sailor,Rye Beer,95,Blackrocks Brewery,Marquette, MA
287,0.048,47.0,2634,Nordskye ,American IPA,12,Blackrocks Brewery,Marquette, MI
288,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,Blackrocks Brewery,Marquette, MI
289,0.052000000000000005,,1953,Honey Lav,American Pale Wheat Ale,12,Blackrocks Brewery,Marquette, MI
290,0.068,,1496,Coconut Brown Ale,American Brown Ale,12,Blackrocks Brewery,Marquette, MI
291,0.07,51.0,1481,51K IPA,American IPA,12,Blackrocks Brewery,Marquette, MI
292,0.055,,1480,Grand Rabbits,Cream Ale,12,Blackrocks Brewery,Marquette, MI
293,0.05,,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,Blue Blood Brewing Company,Lincoln, NE
294,,,1541,Double Play Pilsner,American Pilsner,380,Blue Blood Brewing Company,Lincoln, NE
295,0.055,,1321,Brewerhood Brown Ale,American Brown Ale,380,Blue Blood Brewing Company,Lincoln, NE
296,0.08,,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,380,Blue Blood Brewing Company,Lincoln, NE
297,0.096,,1319,Pernicious Double IPA,American Double / Imperial IPA,380,Blue Blood Brewing Company,Lincoln, NE
298,0.052000000000000005,,1303,6-4-3 Double Play Pilsner,German Pilsener,380,Blue Blood Brewing Company,Lincoln, NE
299,,,1025,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,380,Blue Blood Brewing Company,Lincoln, NE
300,0.05,,1012,467 Ethan's Stout,American Stout,380,Blue Blood Brewing Company,Lincoln, NE
301,0.064,,942,1335 Wicked Snout,Saison / Farmhouse Ale,380,Blue Blood Brewing Company,Lincoln, NE
